Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Data Source,Confidence,Employee Range,Employee Count Source,Employee Confidence,Revenue Range,Revenue Source,Revenue Confidence,Years in Business,Founded Year,Age Source,Age Confidence
The Cotton Factory,270 Sherman Ave N,Hamilton,ON,UNKNOWN,(905) 547-8256,https://www.cottonfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.0,2014,whois,85%
Karma Candy Inc,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6222,http://www.karmacandy.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,17.9,2007,whois,85%
The Spice Factory,121 Hughson St. N,Hamilton,ON,UNKNOWN,(289) 925-8446,http://www.spicefactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.1,2014,whois,85%
Factory Shoe,1179 Upper James St,Hamilton,ON,UNKNOWN,(905) 318-9799,https://www.factoryshoe.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,24.3,2001,whois,85%
Atlantic Packaging Products Ltd.,863 Nebo Rd,Hamilton,ON,UNKNOWN,(800) 268-5620,https://atlantic.ca/locations/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25.0,2000,whois,85%
lobby Hamilton,151 James St S,Hamilton,ON,UNKNOWN,(289) 389-3109,https://lobby.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,22.8,2003,whois,85%
Berkeley North,31 King William St,Hamilton,ON,UNKNOWN,(905) 522-5858,http://www.berkeleynorth.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.4,2014,whois,85%
Shakespeare's Steak and Seafood,181 Main St E Bsmt,Hamilton,ON,UNKNOWN,(905) 528-0689,http://www.shakespeares.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,24.5,2001,whois,85%
Downtown Hamilton BIA,20 Hughson St S #104,Hamilton,ON,UNKNOWN,(905) 523-1646,http://www.downtownhamilton.org/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25.0,2000,whois,85%
Plank Restobar Augusta,18 Augusta St,Hamilton,ON,UNKNOWN,(289) 799-1002,http://www.plankrestobar.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,14.0,2011,whois,85%
The Ship,23 Augusta St,Hamilton,ON,UNKNOWN,(905) 526-0792,http://www.theship.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,16.4,2009,whois,85%
The Hamilton Club,6 Main St E,Hamilton,ON,UNKNOWN,(905) 522-4675,https://www.thehamiltonclub.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,26.6,1999,whois,85%
Fiddes Wholesale Produce Co,60 Ewen Rd,Hamilton,ON,UNKNOWN,(905) 570-7900,https://www.facebook.com/Fiddes-Wholesale-Produce-FWP-263828676991956/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,28.6,1997,whois,85%
Traynor's Bakery Wholesale Ltd.,191 Victoria Ave S,Hamilton,ON,UNKNOWN,(905) 522-2730,http://www.traynors.ca,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,24.4,2001,whois,85%
Canway Distribution,319 Nash Rd N,Hamilton,ON,UNKNOWN,(905) 573-7286,http://canwaydistribution.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,15.7,2010,whois,85%
