Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Data Source,Confidence,Employee Range,Employee Count Source,Employee Confidence,Revenue Range,Revenue Source,Revenue Confidence,Years in Business,Founded Year,Age Source,Age Confidence
Mondelez Canada,45 Ewen Rd,Hamilton,ON,UNKNOWN,(855) 535-5666,https://www.mondelezinternational.com/canada/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
The Cotton Factory,270 Sherman Ave N,Hamilton,ON,UNKNOWN,(905) 547-8256,https://www.cottonfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Arts Factory,947 Burlington St E,Hamilton,ON,UNKNOWN,(289) 201-4081,https://artsfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Bunge,515 Victoria Ave N,Hamilton,ON,UNKNOWN,(800) 535-3898,http://www.bungeag.com/?utm_source=extnet&utm_medium=yext,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Innovation Factory,175 Longwood Rd S Suite B21,Hamilton,ON,UNKNOWN,(905) 667-2611,https://innovationfactory.ca/,general_business,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$1.1M-$10.0M,employee_based_estimate,35%,15,2010,website_scrape,80%
SucroCan Canada Inc - Ferguson Sugar Refinery,560 Ferguson Ave N,Hamilton,ON,UNKNOWN,(305) 901-5222,https://sucro.us/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11,2014,website_scrape,80%
Emerald Manufacturing Site,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6192,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Mercanti Specialty Foods Inc.,173 Nebo Rd,Hamilton,ON,UNKNOWN,UNKNOWN - check website,http://mamayolandas.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Karma Candy Inc,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6222,http://www.karmacandy.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
The Spice Factory,121 Hughson St. N,Hamilton,ON,UNKNOWN,(289) 925-8446,http://www.spicefactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Stelco Hamilton Works,386 Wilcox St,Hamilton,ON,UNKNOWN,(905) 528-2511,https://www.stelco.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25,2000,website_scrape,80%
Cassell Manufacturing,400 Wentworth St N,Hamilton,ON,UNKNOWN,(905) 662-0330,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Container57,65 John St S,Hamilton,ON,UNKNOWN,(289) 556-4205,https://60424e-3.myshopify.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Ontario Ravioli,121 Brockley Dr,Hamilton,ON,UNKNOWN,(905) 561-4132,http://ontarioravioli.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,52,1973,website_scrape,80%
G. S. Dunn Ltd.,80 Park St N,Hamilton,ON,UNKNOWN,(905) 522-0833,http://gsdunn.com/,wholesale,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$2.2M-$20.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Orlick Industries Ltd.,411 Parkdale Ave N,Hamilton,ON,UNKNOWN,(905) 544-1997,http://www.orlick.on.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Factory Shoe,1179 Upper James St,Hamilton,ON,UNKNOWN,(905) 318-9799,https://www.factoryshoe.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,42,1983,website_scrape,80%
Denninger's Manufacturing Facility,55 Brant St,Hamilton,ON,UNKNOWN,(905) 522-2414,http://www.denningers.com/,general_business,Google Places API (New) - REAL,90%,201-500,website_scrape,75%,$20.1M-$100.0M,employee_based_estimate,35%,71,1954,website_scrape,80%
sweet & simple co.,942 Main St E,Hamilton,ON,UNKNOWN,(905) 520-5581,http://sweetandsimpleco.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Atlantic Packaging Products Ltd.,863 Nebo Rd,Hamilton,ON,UNKNOWN,(800) 268-5620,https://atlantic.ca/locations/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,0,2025,website_scrape,80%
The Standard,10 James St N,Hamilton,ON,UNKNOWN,(289) 619-0955,https://www.thestandardhamilton.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Henry's on James,303 James St N,Hamilton,ON,UNKNOWN,(905) 529-2299,http://www.henrysonjames.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Undefined,35 King William St,Hamilton,ON,UNKNOWN,(905) 393-8343,https://eatundefined.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
11:11 Hamilton,Lower,150 James St S,ON,UNKNOWN,(905) 906-0290,https://www.elevenhamilton.ca/,general_business,Google Places API (New) - REAL,90%,10-40,industry_estimate,30%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Electric Diner,28 James St N,Hamilton,ON,UNKNOWN,(289) 389-3929,https://www.electricdinerhamilton.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
lobby Hamilton,151 James St S,Hamilton,ON,UNKNOWN,(289) 389-3109,https://lobby.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,0,2025,website_scrape,80%
Berkeley North,31 King William St,Hamilton,ON,UNKNOWN,(905) 522-5858,http://www.berkeleynorth.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
The District Tapas + Bar,61 Barton St E,Hamilton,ON,UNKNOWN,(905) 572-9000,https://www.districttapasham.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Conversate Steak and Seafood,38 King William St,Hamilton,ON,UNKNOWN,(905) 525-3730,http://www.conversaterestaurant.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
istanbull Donairx ( Downtown Hamilton ),298 King St W,Hamilton,ON,UNKNOWN,(905) 544-3434,https://istanbulldonairx.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
