Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Owner/Contact Name,Owner Confidence,Owner Source,Estimated Revenue (CAD),Estimated Revenue Range,Estimated Employees (Range),SDE Estimate,Confidence Score,Data Source,Place Types,Review Count,Rating,Warnings,Priority
Laurel Steel,5400 Harvester Road,Burlington,ON,L7L 5N5,(905) 681-6811,http://www.laurelsteel.com/,manufacturing,Not found,none,Owner not found - manual research required,"$2,460,920",$1.8M-$3.1M,12-35,"$369,138",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",39,4.1,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $2.5M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Nutem Custom Manufacturing Ltd,1105 Clay Avenue,Burlington,ON,L7L 0A1,(905) 332-9600,http://www.nutem.com/,manufacturing,Saquib Khan,high,LinkedIn + Crunchbase (CEO & Owner),"$2,285,140",$1.6M-$3.0M,12-35,"$342,771",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",8,3.5,UPPER_RANGE: Revenue $2.3M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
FibreCast Inc - Refractory Materials,3264 Mainway,Burlington,ON,L7M 1A7,(905) 319-1080,https://www.fibrecast.com/,manufacturing,George Badovinac,high,ZoomInfo (CEO & Founder since 1993),"$2,285,140",$1.6M-$3.0M,12-35,"$342,771",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",5,4.0,UPPER_RANGE: Revenue $2.3M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
H & H Manufacturing,4330 Mainway,Burlington,ON,L7L 5R7,(905) 335-5532,http://www.hhmfg.com/,manufacturing,Not found,none,Owner not found - manual research required,"$2,285,140",$1.6M-$3.0M,12-35,"$342,771",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",6,4.3,UPPER_RANGE: Revenue $2.3M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Tempel Canada Company,5045 North Service Road,Burlington,ON,L7L 5H6,(905) 335-2530,https://www.tempel.com/,manufacturing,Geoff Gilmore,medium,Parent company CEO (Worthington Steel),"$2,285,140",$1.6M-$3.0M,12-35,"$342,771",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",7,3.6,UPPER_RANGE: Revenue $2.3M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
MG Chemicals Ltd,1210 Corporate Drive,Burlington,ON,L7L 5R6,(905) 331-1396,https://mgchemicals.com/,manufacturing,Jason Rogers,high,Business directories (CEO),"$2,285,140",$1.6M-$3.0M,12-35,"$342,771",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",5,4.2,UPPER_RANGE: Revenue $2.3M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Sympro CNC Machining & Mfg. Inc.,955 Century Drive,Burlington,ON,L7L 5J8,(905) 331-9490,http://www.symprocnc.com/,manufacturing,Balak (Bill) Barmi,high,LinkedIn (President),"$2,241,195",$1.5M-$3.0M,12-35,"$336,179",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",2,5.0,UPPER_RANGE: Revenue $2.2M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
BSB Manufacturing,5316 John Lucas Drive,Burlington,ON,L7L 6A6,(289) 245-1030,http://www.bsbmfg.com/,manufacturing,Narinder Bhogal,high,"Company website (President, Family-owned)","$2,241,195",$1.5M-$3.0M,12-35,"$336,179",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",3,5.0,UPPER_RANGE: Revenue $2.2M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
URtech Manufacturing Inc.,835 Harrington Court,Burlington,ON,L7N 3P3,(905) 667-2310,http://www.urtechmfg.com/,manufacturing,Greg Gehl,high,Business interviews (President & Founder),"$2,241,195",$1.5M-$3.0M,12-35,"$336,179",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",4,5.0,UPPER_RANGE: Revenue $2.2M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Apache Plastics,4081 Fairview Street,Burlington,ON,L7N 2G1,(905) 632-0848,http://www.apacheplastics.com/,manufacturing,Not found,none,Owner not found - manual research required,"$2,197,250",$1.4M-$3.0M,12-35,"$329,587",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",1,5.0,UPPER_RANGE: Revenue $2.2M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
