Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Data Source,Confidence,Employee Range,Employee Count Source,Employee Confidence,Revenue Range,Revenue Source,Revenue Confidence,Years in Business,Founded Year,Age Source,Age Confidence
Mondelez Canada,45 Ewen Rd,Hamilton,ON,UNKNOWN,(855) 535-5666,https://www.mondelezinternational.com/canada/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,13.7,2012,whois,85%
The Cotton Factory,270 Sherman Ave N,Hamilton,ON,UNKNOWN,(905) 547-8256,https://www.cottonfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.0,2014,whois,85%
Arts Factory,947 Burlington St E,Hamilton,ON,UNKNOWN,(289) 201-4081,https://artsfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,2.2,2023,whois,85%
Bunge,515 Victoria Ave N,Hamilton,ON,UNKNOWN,(800) 535-3898,http://www.bungeag.com/?utm_source=extnet&utm_medium=yext,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,5.3,2020,whois,85%
Innovation Factory,175 Longwood Rd S Suite B21,Hamilton,ON,UNKNOWN,(905) 667-2611,https://innovationfactory.ca/,general_business,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$1.1M-$10.0M,employee_based_estimate,35%,15.7,2010,whois,85%
SucroCan Canada Inc - Ferguson Sugar Refinery,560 Ferguson Ave N,Hamilton,ON,UNKNOWN,(305) 901-5222,https://sucro.us/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,9.7,2016,whois,85%
Emerald Manufacturing Site,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6192,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Mercanti Specialty Foods Inc.,173 Nebo Rd,Hamilton,ON,UNKNOWN,UNKNOWN - check website,http://mamayolandas.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,9.0,2016,whois,85%
Karma Candy Inc,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6222,http://www.karmacandy.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,17.9,2007,whois,85%
The Spice Factory,121 Hughson St. N,Hamilton,ON,UNKNOWN,(289) 925-8446,http://www.spicefactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.1,2014,whois,85%
Stelco Hamilton Works,386 Wilcox St,Hamilton,ON,UNKNOWN,(905) 528-2511,https://www.stelco.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,29.0,1996,whois,85%
Cassell Manufacturing,400 Wentworth St N,Hamilton,ON,UNKNOWN,(905) 662-0330,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
