name,street,city,postal_code,phone,website,industry,employee_range,revenue_range,data_source,website_age
Grasshopper Imports,1134 Highway 6,Hamilton,,UNKNOWN,http://www.grasshopperimports.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Take The Leap Photography,14 Sunning Hill Avenue,Hamilton,L8T 1B4,9057415584,https://taketheleap.ca/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Melnik,64 Magill Street,Hamilton,L8R 2Y5,5192642300,https://melnik.ca/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Voortman Cookies LTD,4475 North Service Road,Burlington,,9053359500,http://www.voortman.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Nickel Brook Brewing Co,864 Drury Lane,Burlington,L7R 2Y4,9056812739,https://www.nickelbrook.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Better Bitters Brewing Co,864 Drury Lane,Burlington,,UNKNOWN,http://betterbitters.ca/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Burlington Tailors,3129 New Street,Burlington,,9056372763,http://www.burlingtontailors.ca/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
The Ancaster Handyman,27 Garner Road East,Ancaster,L9G 2J9,9058181162,https://theancasterhandyman.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Active Air Inc,968 Main Street East,Hamilton,L8M 1M8,9053128545,http://activeairinc.com,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Clifford Brewery Co.,398 Nash Road North,Hamilton,L8H 7P5,9055605444,https://www.cliffordbrewing.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
CGA Ironworks,1163 King Road,Hamilton,,9056164817,https://www.cgaironworks.com,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Teff Line Ltd.,4415 North Service Road,Hamilton,,UNKNOWN,https://teff-line.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Private Solutions Agency,1063 King Street West,Hamilton,,UNKNOWN,https://privatesolutions.ca/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
The Window Experts,1 King St W,Hamilton,L8P 4X8,2892065233,https://thewindowexperts.ca/windows-and-doors-hamilton/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Soups From Me to You,307 Concession 8 East,Hamilton,L8N 2Z7,2893395358,https://www.soupsfrommetoyou.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
ABELDent Inc,"3310 South Service Road, Suite 101,",Burlington,L7N 3M6,8002672235,https://www.abeldent.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
John The Plumber,3344 Mainway,Burlington,L7M 1A7,2893482366,https://johntheplumber.ca/burlington,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Zee Float,430 York Boulevard,Hamilton,L8R 3K8,9057693404,https://www.zeefloat.com/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
John The Plumber,38 Gledhill Crescent,Hamilton,L9C 6H4,9056450467,https://johntheplumber.ca/hamilton/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
Certified Mortgage Broker Burlington,4145 North Service Road,Hamilton,L7L 6A3,6474965721,https://certifiedmortgagebroker.com/burlington/,general_business,UNKNOWN - needs enrichment,UNKNOWN - needs enrichment,OpenStreetMap (REAL),UNKNOWN - needs verification
