unique_id,business_name,industry,address,city,postal_code,phone,email,website,years_in_business,employee_count,estimated_revenue,revenue_confidence,lead_score,qualification_status,data_sources,created_at,updated_at,business_intelligence_notes,qualification_reasons
65e6237ce2cc,Stoney Creek Print Solutions,printing,"234 Highway 8, Stoney Creek, ON L8G 5C3",Stoney Creek,L8G 5C3,(905) 555-0234,orders@stoneyprint.ca,https://stoneyprint.ca,20,9,1260512,54.6%,72,Qualified,web_scraping,2025-09-03 17:33:16,2025-09-03 17:33:16.323108,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.WEB_SCRAPING"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 72/100""]",Revenue estimate $1.3M fits target range perfectly; Well established business (20 years); Excellent data completeness (100.0%); High data confidence (81.8%); Target industry: printing; Located in Hamilton area (target market); Hamilton suburb location: Stoney Creek; Optimal team size (9) for acquisition
db1de6123ff4,Hamilton Business Printing Co,printing,"234 James St N, Hamilton, ON L8R 2L3",Hamilton,L8R 2L3,(905) 555-0234,print@hamiltonbizprint.ca,https://hamiltonbizprint.ca,21,11,1379367,54.6%,72,Qualified,manual_research,2025-09-03 17:33:16,2025-09-03 17:33:16.287428,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.MANUAL_RESEARCH"", ""[2025-09-03 17:33] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-03 17:33] business_intelligence: Growing tech and innovation sector"", ""[2025-09-03 17:33] business_intelligence: Strategic location for North American trade"", ""[2025-09-03 17:33] business_intelligence: Medium-sized team indicates established operations"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 72/100""]",Revenue estimate $1.4M fits target range perfectly; Well established business (21 years); Excellent data completeness (100.0%); High data confidence (81.8%); Target industry: printing; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (11) for acquisition
7321fd441906,Hamilton Precision Printing,printing,"678 Barton St E, Hamilton, ON L8L 2Y5",Hamilton,L8L 2Y5,(905) 555-0678,orders@hamiltonprecision.ca,https://hamiltonprecision.ca,24,11,1395723,54.6%,72,Qualified,canada411,2025-09-03 17:33:16,2025-09-03 17:33:16.251322,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.CANADA411"", ""[2025-09-03 17:33] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-03 17:33] business_intelligence: Growing tech and innovation sector"", ""[2025-09-03 17:33] business_intelligence: Strategic location for North American trade"", ""[2025-09-03 17:33] business_intelligence: Medium-sized team indicates established operations"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 72/100""]",Revenue estimate $1.4M fits target range perfectly; Well established business (24 years); Excellent data completeness (100.0%); High data confidence (81.8%); Target industry: printing; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (11) for acquisition
28c9bece778f,Hamilton Equipment Leasing Co,equipment_rental,"567 Burlington St W, Hamilton, ON L8H 2R4",Hamilton,L8H 2R4,(905) 555-0567,leasing@hamiltonequip.ca,https://hamiltonequip.ca,15,8,1097713,63.0%,70,Qualified,api_integration,2025-09-03 17:33:16,2025-09-03 17:33:16.406164,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.API_INTEGRATION"", ""[2025-09-03 17:33] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-03 17:33] business_intelligence: Growing tech and innovation sector"", ""[2025-09-03 17:33] business_intelligence: Strategic location for North American trade"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 70/100""]",Revenue estimate $1.1M fits target range perfectly; Meets minimum age requirement (15 years); Excellent data completeness (100.0%); High data confidence (85.2%); Target industry: equipment_rental; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (8) for acquisition
62984f2a20f6,Hamilton Bay Equipment Services,equipment_rental,"345 Burlington St E, Hamilton, ON L8H 7M3",Hamilton,L8H 7M3,(905) 555-0345,rentals@bayequipment.ca,https://bayequipment.ca,17,9,1204570,63.0%,70,Qualified,api_integration,2025-09-03 17:33:16,2025-09-03 17:33:16.361852,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.API_INTEGRATION"", ""[2025-09-03 17:33] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-03 17:33] business_intelligence: Growing tech and innovation sector"", ""[2025-09-03 17:33] business_intelligence: Strategic location for North American trade"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 70/100""]",Revenue estimate $1.2M fits target range perfectly; Meets minimum age requirement (17 years); Excellent data completeness (100.0%); High data confidence (85.2%); Target industry: equipment_rental; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (9) for acquisition
2601ae149c2f,Ancaster Business Consulting Group,professional_services,"789 Golf Links Rd, Ancaster, ON L9G 3L1",Ancaster,L9G 3L1,(905) 555-0789,consultants@ancasterbcg.ca,https://ancasterbcg.ca,16,9,1194695,49.6%,65,Qualified,hamilton_chamber,2025-09-03 17:33:16,2025-09-03 17:33:16.590573,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-03 17:33] business_intelligence: Ancaster: Affluent area with higher-end service demand"", ""[2025-09-03 17:33] business_intelligence: Good access to both Hamilton and Burlington markets"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 65/100""]",Revenue estimate $1.2M fits target range perfectly; Meets minimum age requirement (16 years); Excellent data completeness (100.0%); High data confidence (79.8%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Ancaster; Optimal team size (9) for acquisition
517cbb796f80,Dundas Business Services Inc,professional_services,"89 Main St, Dundas, ON L9H 3A1",Dundas,L9H 3A1,(905) 555-0089,contact@dundasbusiness.ca,https://dundasbusiness.ca,19,10,1281066,49.6%,65,Qualified,linkedin,2025-09-03 17:33:16,2025-09-03 17:33:16.553082,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.LINKEDIN"", ""[2025-09-03 17:33] business_intelligence: Dundas: Historic town with strong local business community"", ""[2025-09-03 17:33] business_intelligence: Good mix of residential and commercial opportunities"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 65/100""]",Revenue estimate $1.3M fits target range perfectly; Meets minimum age requirement (19 years); Excellent data completeness (100.0%); High data confidence (79.8%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Dundas; Optimal team size (10) for acquisition
5db9a9d7426d,Stoney Creek Office Solutions,professional_services,"67 King St E, Stoney Creek, ON L8G 1K1",Stoney Creek,L8G 1K1,(905) 555-0067,admin@stoneyoffice.ca,https://stoneyoffice.ca,18,9,1215259,49.6%,65,Qualified,yellowpages,2025-09-03 17:33:16,2025-09-03 17:33:16.512694,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.YELLOWPAGES"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 65/100""]",Revenue estimate $1.2M fits target range perfectly; Meets minimum age requirement (18 years); Excellent data completeness (100.0%); High data confidence (79.8%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Stoney Creek; Optimal team size (9) for acquisition
cec0c19a5c04,Dundas Professional Consulting,professional_services,"156 King St W, Dundas, ON L9H 1V1",Dundas,L9H 1V1,(905) 555-0156,service@dundasconsulting.ca,https://dundasconsulting.ca,16,8,1139170,49.6%,65,Qualified,linkedin,2025-09-03 17:33:16,2025-09-03 17:33:16.477901,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.LINKEDIN"", ""[2025-09-03 17:33] business_intelligence: Dundas: Historic town with strong local business community"", ""[2025-09-03 17:33] business_intelligence: Good mix of residential and commercial opportunities"", ""[2025-09-03 17:33] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-03 17:33] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 65/100""]",Revenue estimate $1.1M fits target range perfectly; Meets minimum age requirement (16 years); Excellent data completeness (100.0%); High data confidence (79.8%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Dundas; Optimal team size (8) for acquisition
77e91cc1531e,Ancaster Professional Services,professional_services,"89 Wilson St W, Ancaster, ON L9G 1N4",Ancaster,L9G 1N4,(905) 555-0189,info@ancasterpro.ca,https://ancasterprofessional.com,19,11,1336590,49.6%,65,Qualified,hamilton_chamber,2025-09-03 17:33:16,2025-09-03 17:33:16.442134,"[""[2025-09-03 17:33] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-03 17:33] business_intelligence: Ancaster: Affluent area with higher-end service demand"", ""[2025-09-03 17:33] business_intelligence: Good access to both Hamilton and Burlington markets"", ""[2025-09-03 17:33] business_intelligence: Medium-sized team indicates established operations"", ""[2025-09-03 17:33] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-03 17:33] enrichment_service: Data enrichment completed"", ""[2025-09-03 17:33] scoring_service: QUALIFIED with score 65/100""]",Revenue estimate $1.3M fits target range perfectly; Meets minimum age requirement (19 years); Excellent data completeness (100.0%); High data confidence (79.8%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Ancaster; Optimal team size (11) for acquisition
