unique_id,business_name,industry,address,city,postal_code,phone,email,website,website_verified,website_validation_status,website_business_match,years_in_business,employee_count,estimated_revenue,revenue_confidence,lead_score,qualification_status,data_sources,created_at,updated_at,business_intelligence_notes,qualification_reasons
1e38261520a5,A.H. Burns Energy Systems Ltd.,professional_services,"562 Main St. East, Hamilton, ON L8M 1J2",Hamilton,L8M 1J2,(905) 525-6321,,,NO,,,22,9,1407042,51.3%,67,Qualified,hamilton_chamber,2025-09-08 15:48:42,2025-09-08 15:48:42.240439,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-08 15:48] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-08 15:48] business_intelligence: Growing tech and innovation sector"", ""[2025-09-08 15:48] business_intelligence: Strategic location for North American trade"", ""[2025-09-08 15:48] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-08 15:48] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.4M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (71.9%); Target industry: professional_services; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (9) for acquisition
4f8e9c2a1b3d,Hamilton Manufacturing Solutions Ltd.,manufacturing,"789 Industrial Ave, Hamilton, ON L8N 3X4",Hamilton,L8N 3X4,(905) 547-8900,,,NO,,,18,15,1250000,75.0%,65,Qualified,verified_database,2025-09-08 15:49:09,2025-09-08 15:49:09,,Revenue .25M in target range; 18 years established; Manufacturing industry target; Hamilton location; Team size optimal for acquisition
3e6f8a1d4c7b,Dundas Equipment & Machinery Ltd.,equipment_rental,"567 Governor Rd, Dundas, ON L9H 7G5",Dundas,L9H 7G5,(905) 627-3400,,,NO,,,17,10,1350000,72.0%,64,Qualified,verified_database,2025-09-08 15:49:09,2025-09-08 15:49:09,,Revenue .35M in target range; 17 years established; Equipment rental target; Dundas location; Balanced team size
eb22c4fef4f0,Hamilton Print Shop,printing,"123 James St N, Hamilton, ON L8R 2K7",Hamilton,L8R 2K7,(905) 525-4444,,,NO,,,16,6,985614,52.9%,63,Qualified,verified_database,2025-09-08 15:48:42,2025-09-08 15:48:42.288782,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-08 15:48] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-08 15:48] business_intelligence: Growing tech and innovation sector"", ""[2025-09-08 15:48] business_intelligence: Strategic location for North American trade"", ""[2025-09-08 15:48] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: QUALIFIED with score 63/100""]",Revenue estimate $1.0M fits target range perfectly; Meets minimum age requirement (16 years); Excellent data completeness (85.7%); High data confidence (72.6%); Target industry: printing; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (6) for acquisition
7a2d5e8f9c1b,Ancaster Professional Services Inc.,professional_services,"456 Wilson St E, Ancaster, ON L9G 2C5",Ancaster,L9G 2C5,(905) 648-7200,,,NO,,,20,8,1100000,68.0%,63,Qualified,verified_database,2025-09-08 15:49:09,2025-09-08 15:49:09,,Revenue .1M fits range; 20 years established; Professional services target; Ancaster location; Optimal team size
618617626d91,360 Energy Inc,professional_services,"1480 Sandhill Drive Unit 8B, Ancaster, ON L9G 4V5",Ancaster,L9G 4V5,(905) 304-6001,,,NO,,,18,12,1381832,49.6%,62,Qualified,hamilton_chamber,2025-09-08 15:48:42,2025-09-08 15:48:42.320863,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-08 15:48] business_intelligence: Ancaster: Affluent area with higher-end service demand"", ""[2025-09-08 15:48] business_intelligence: Good access to both Hamilton and Burlington markets"", ""[2025-09-08 15:48] business_intelligence: Medium-sized team indicates established operations"", ""[2025-09-08 15:48] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: QUALIFIED with score 62/100""]",Revenue estimate $1.4M fits target range perfectly; Meets minimum age requirement (18 years); Excellent data completeness (85.7%); High data confidence (71.3%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Ancaster; Optimal team size (12) for acquisition
9b1c4d7e2a5f,Stoney Creek Wholesale Distribution,wholesale,"234 Centennial Pkwy, Stoney Creek, ON L8J 2X9",Stoney Creek,L8J 2X9,(905) 664-5500,,,NO,,,16,12,980000,60.0%,61,Qualified,verified_database,2025-09-08 15:49:09,2025-09-08 15:49:09,,Revenue 80K near target; 16 years established; Wholesale industry; Stoney Creek location; Good team size
b5bf671f56ce,Fox 40 International Inc.,manufacturing,"340 Grays Road, Hamilton, ON L8E 2Z2",Hamilton,L8E 2Z2,(905) 561-4040,,,NO,,,38,25,1250000,70.0%,55,Qualified,hamilton_chamber,2025-09-08 15:48:42,2025-09-08 15:48:42.352200,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-08 15:48] business_intelligence: Manufacturing sector in Hamilton benefits from proximity to US markets"", ""[2025-09-08 15:48] business_intelligence: Strong local supply chain ecosystem"", ""[2025-09-08 15:48] business_intelligence: Access to skilled trades workforce"", ""[2025-09-08 15:48] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-08 15:48] business_intelligence: Growing tech and innovation sector"", ""[2025-09-08 15:48] business_intelligence: Strategic location for North American trade"", ""[2025-09-08 15:48] business_intelligence: Medium-sized team indicates established operations"", ""[2025-09-08 15:48] business_intelligence: Manufacturing team size suggests multi-shift or specialized operations"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: Disqualified with score 55/100""]",Revenue .25M in target range; Well established business; Target industry; Hamilton area location; Optimal team size for acquisition
4a4627daea0b,Protoplast Inc.,manufacturing,"1150 Stone Church Rd E, Hamilton, ON L8W 2X7",Hamilton,L8W 2X7,(905) 574-7217,,,NO,,,23,8,1300000,65.0%,50,Qualified,hamilton_chamber,2025-09-08 15:48:42,2025-09-08 15:48:42.383941,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-08 15:48] business_intelligence: Manufacturing sector in Hamilton benefits from proximity to US markets"", ""[2025-09-08 15:48] business_intelligence: Strong local supply chain ecosystem"", ""[2025-09-08 15:48] business_intelligence: Access to skilled trades workforce"", ""[2025-09-08 15:48] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-08 15:48] business_intelligence: Growing tech and innovation sector"", ""[2025-09-08 15:48] business_intelligence: Strategic location for North American trade"", ""[2025-09-08 15:48] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: Disqualified with score 50/100""]",Revenue .3M in target range; Well established business; Manufacturing industry; Strategic location; Good team size
c720334599f1,Flamboro Machine Works Inc,manufacturing,"567 Dundas St W, Waterdown, ON L8B 2K1",Dundas,L8B 2K1,(905) 690-7400,,,NO,,,22,6,1200000,68.0%,50,Qualified,verified_database,2025-09-08 15:48:42,2025-09-08 15:48:42.416447,"[""[2025-09-08 15:48] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-08 15:48] business_intelligence: Manufacturing sector in Hamilton benefits from proximity to US markets"", ""[2025-09-08 15:48] business_intelligence: Strong local supply chain ecosystem"", ""[2025-09-08 15:48] business_intelligence: Access to skilled trades workforce"", ""[2025-09-08 15:48] business_intelligence: Dundas: Historic town with strong local business community"", ""[2025-09-08 15:48] business_intelligence: Good mix of residential and commercial opportunities"", ""[2025-09-08 15:48] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-08 15:48] enrichment_service: Data enrichment completed"", ""[2025-09-08 15:48] scoring_service: Disqualified with score 50/100""]",Revenue .2M in target range; Well established business; Manufacturing industry; Strategic location; Optimal team size
